ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
0,Najam Sethi,ARY News,The News,Islamabad,Multan,Sports,Polio cases reported in KPK,10.61315105,11648570,25,-0.01428783401,,1756573,136184,4452987.876,No,1,2021-06-21,English,Opposition,
1,Dr. Shahid Masood,HUM News,Dawn,Sindh,Quetta,Crime,Budget deficit reaches record high,27.54570472,5 million,,,5,1546170,,1 crore,1,,2019-11-19,urdu,,14461
2,Kamran Shahid,Samaa,Jang,Sindh,Rawalpindi,Health,Attack on Army convoy in Waziristan,50.38747329,14072656,223,0.7015714564,,,,50 lakh,Yes,,2024-05-07,urdu,Pro-Govt,33436
3,Matiullah Jan,DawnNews,Nawa-i-Waqt,Islamabad,Multan,Health,Hospitals face medicine shortages,,812673,,,2,1083972,16712,1 crore,1,,2019-10-03,urdu,Neutral,
4,RAUF KLASSRA,SAMAA TV,The News,Sindh,Karachi,Sports,Chief Justice orders suo moto on Karachi violence,,,223,,,700635,,3975468.534,,0,2018-02-07,Urdu,Neutral,
5,Ansar Abbasi,geo,Jang,Balochistan,Peshawar,Terrorism,Karachi Kings beat Multan Sultans,,10 lakh,,-0.9190341937,,,,3391548.696,,,2020-12-06,ENG,,24395
6,Ansar Abbasi,geo,The News,Balochistan,Multan,Media,Doctors protest low salaries,,148524,,,,1.513574721,130390,4217555.722,,0,2021-09-28,English,,33630
7,Umar Cheema,AbbTakk News,Nawa-i-Waqt,Sindh,Rawalpindi,Media,Health workers go on strike in Punjab,,2 crore,117,,,21.05147795,19105,,,1,2022-02-04,Urdu,Pro-Govt,
8,Shahzeb Khanzada,HUM News,Dawn,Balochistan,Rawalpindi,Education,Stock exchange crashes amid crisis,80.02379713,,,1.918124253,-1,382030,,1 crore,No,1,2018-08-28,ENG,Opposition,43874
9,shahzeb khanzada,AbbTakk News,Nawa-i-Waqt,Sindh,Quetta,Media,Militant hideout destroyed in KPK,,10 lakh,201,,4,18.83739653,76120,,No,1,2021-08-08,,Opposition,1664
10,Ansar Abbasi,hum news,Jang,KPK,Multan,Health,Opposition stages walkout in National Assembly,,19998383,176,-0.8709688065,2,,42798,,,0,2020-11-21,urdu,Opposition,
11,Ansar Abbasi,Geo,The News,Sindh,Rawalpindi,Crime,Dawn faces backlash over editorial,,5 million,260,,1,587874,,1 crore,Yes,0,2019-02-28,Urdu,Pro-Govt,39763
12,Umar Cheema,Express-News,Jang,Sindh,Islamabad,Judiciary,Remittances fall sharply in July,,10 lakh,,-0.8933427239,,554894,,50 lakh,Yes,,2023-02-21,Urdu,Neutral,
13,shahzeb khanzada,DawnNews,The News,Punjab,Lahore,Terrorism,"Judiciary under pressure, say analysts",61.95603449,5 million,35,,3,33.13201042,152518,559779.337,No,,2023-09-27,English,Opposition,4977
14,Kamran Khan,geo,Nawa-i-Waqt,AJK,Multan,Crime,Suicide bombing in Peshawar mosque,-4.842027756,5 million,160,,3,817878,6279,50 lakh,0,0,2025-04-07,English,Neutral,12765
15,K. Khan,GEO NEWS,Dawn,KPK,Peshawar,Politics,Cricket team departs for World Cup,68.76156512,10 lakh,,,,,154045,,,0,2023-06-12,urdu,,25192
16,Asma Shirazi,DawnNews,The News,AJK,Quetta,Crime,Pakistan football team defeats India,,10 lakh,,,,,97504,50 lakh,No,,2024-08-09,Urdu,Pro-Govt,29374
17,Umar Cheema,ARYNEWS,The News,KPK,Peshawar,Politics,Security forces foil major terror bid,49.83104669,5110248,370,,5,1194542,168700,1 crore,Yes,0,2018-04-19,English,Pro-Govt,23046
18,Umar Cheema,ary,Nawa-i-Waqt,Punjab,Quetta,Terrorism,High Court stays government decision,49.07079201,10 lakh,,-1.848753991,,11.4193495,,3932270.276,0,1,2025-04-20,Urdu,Neutral,21605
19,Umar Cheema,SAMAA TV,Jang,Punjab,Quetta,Sports,NDMA warns of heavy rains in Punjab,,7944968,,1.918924026,,,46030,1 crore,1,,2024-01-23,English,Pro-Govt,29779
20,Matiullah Jan,DAWN,Dawn,Balochistan,Lahore,Terrorism,Women cricket team sets new record,,5 million,285,,,,182122,4535889.417,1,0,2021-08-02,urdu,,1860
21,Umar Cheema,Geo,Dawn,Islamabad,Multan,Economy,Attack on Army convoy in Waziristan,,4592649,,,,46.74535753,,2050589.888,1,0,2022-12-24,,Neutral,12070
22,K. Khan,ary,The News,Balochistan,Islamabad,Sports,Exports see slight recovery,,2 crore,497,0.2959264266,,,177709,,1,0,2025-10-10,,Neutral,1117
