ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,ExpectedDomain,DomainFlag
0,Najam Sethi,ARY News,The News,Punjab,Multan,Health,Polio cases reported in KPK,10.61315105,11648570.0,25.0,-0.01428783401,,1756573.0,136184.0,4452987.876,0,0,2021-06-21,English,Opposition,,"['Politics', 'Media', 'Sports']",0
1,Dr. Shahid Masood,Hum News,Dawn,Balochistan,Quetta,Economy,Budget deficit reaches record high,27.54570472,5000000.0,,,5.0,1546170.0,,10000000.0,1,0,2019-11-19,urdu,,14461.0,"['Politics', 'Judiciary']",0
2,Kamran Shahid,Samaa TV,Jang,Punjab,Rawalpindi,Terrorism,Attack on Army convoy in Waziristan,50.38747329,14072656.0,223.0,0.7015714564,,,,5000000.0,1,0,2024-05-07,urdu,Pro-Govt,33436.0,"['Politics', 'Media']",0
3,Matiullah Jan,Dawn News,Nawa-i-Waqt,Punjab,Multan,Health,Hospitals face medicine shortages,,812673.0,,,2.0,1083972.0,16712.0,10000000.0,1,0,2019-10-03,urdu,Neutral,,"['Judiciary', 'Politics']",0
4,Rauf Klasra,Samaa TV,The News,Sindh,Karachi,Crime,Chief Justice orders suo moto on Karachi violence,,,223.0,,,700635.0,,3975468.534,,0,2018-02-07,Urdu,Neutral,,"['Politics', 'Economy']",0
5,Ansar Abbasi,Geo News,Jang,KPK,Peshawar,Sports,Karachi Kings beat Multan Sultans,,1000000.0,,-0.9190341937,,,,3391548.696,,0,2020-12-06,ENG,,24395.0,"['Judiciary', 'Politics']",0
6,Ansar Abbasi,Geo News,The News,Punjab,Multan,Health,Doctors protest low salaries,,148524.0,,,,1.513574721,130390.0,4217555.722,,0,2021-09-28,English,,33630.0,"['Judiciary', 'Politics']",0
7,Umar Cheema,AbbTakk News,Nawa-i-Waqt,Punjab,Rawalpindi,Media,Health workers go on strike in Punjab,,20000000.0,117.0,,,21.05147795,19105.0,,,0,2022-02-04,Urdu,Pro-Govt,,"['Crime', 'Politics']",0
8,Shahzeb Khanzada,Hum News,Dawn,Punjab,Rawalpindi,Economy,Stock exchange crashes amid crisis,80.02379713,,,1.918124253,-1.0,382030.0,,10000000.0,0,0,2018-08-28,ENG,Opposition,43874.0,"['Politics', 'Economy', 'Media']",1
9,Shahzeb Khanzada,AbbTakk News,Nawa-i-Waqt,Balochistan,Quetta,Terrorism,Militant hideout destroyed in KPK,,1000000.0,201.0,,4.0,18.83739653,76120.0,,0,0,2021-08-08,,Opposition,1664.0,"['Politics', 'Economy', 'Media']",0
10,Ansar Abbasi,Hum News,Jang,Punjab,Multan,Politics,Opposition stages walkout in National Assembly,,19998383.0,176.0,-0.8709688065,2.0,,42798.0,,,0,2020-11-21,urdu,Opposition,,"['Judiciary', 'Politics']",1
11,Ansar Abbasi,Geo News,The News,Punjab,Rawalpindi,Media,Dawn faces backlash over editorial,,5000000.0,260.0,,1.0,587874.0,,10000000.0,1,0,2019-02-28,Urdu,Pro-Govt,39763.0,"['Judiciary', 'Politics']",0
12,Umar Cheema,Express News,Jang,Islamabad,Islamabad,Judiciary,Remittances fall sharply in July,,1000000.0,,-0.8933427239,,554894.0,,5000000.0,1,0,2023-02-21,Urdu,Neutral,,"['Crime', 'Politics']",0
13,Shahzeb Khanzada,Dawn News,The News,Punjab,Lahore,Media,"Judiciary under pressure, say analysts",61.95603449,5000000.0,35.0,,3.0,33.13201042,152518.0,559779.337,0,0,2023-09-27,English,Opposition,4977.0,"['Politics', 'Economy', 'Media']",1
14,Kamran Khan,Geo News,Nawa-i-Waqt,AJK,Muzaffarabad,Terrorism,Suicide bombing in Peshawar mosque,,5000000.0,160.0,,3.0,817878.0,6279.0,5000000.0,0,0,2025-04-07,English,Neutral,12765.0,"['Politics', 'Economy', 'Sports', 'Media']",0
15,Kamran Khan,Geo News,Dawn,KPK,Peshawar,Sports,Cricket team departs for World Cup,68.76156512,1000000.0,,,,,154045.0,,,0,2023-06-12,urdu,,25192.0,"['Politics', 'Economy', 'Sports', 'Media']",1
16,Asma Shirazi,Dawn News,The News,AJK,Muzaffarabad,Sports,Pakistan football team defeats India,,1000000.0,,,,,97504.0,5000000.0,0,0,2024-08-09,Urdu,Pro-Govt,29374.0,"['Politics', 'Media']",0
17,Umar Cheema,ARY News,The News,KPK,Peshawar,Terrorism,Security forces foil major terror bid,49.83104669,5110248.0,370.0,,5.0,1194542.0,168700.0,10000000.0,1,0,2018-04-19,English,Pro-Govt,23046.0,"['Crime', 'Politics']",0
18,Umar Cheema,ARY News,Nawa-i-Waqt,Balochistan,Quetta,Politics,High Court stays government decision,49.07079201,1000000.0,,-1.848753991,,11.4193495,,3932270.276,0,0,2025-04-20,Urdu,Neutral,21605.0,"['Crime', 'Politics']",1
19,Umar Cheema,Samaa TV,Jang,Balochistan,Quetta,Environment,NDMA warns of heavy rains in Punjab,,7944968.0,,1.918924026,,,46030.0,10000000.0,1,0,2024-01-23,English,Pro-Govt,29779.0,"['Crime', 'Politics']",0
20,Matiullah Jan,Dawn News,Dawn,Punjab,Lahore,Sports,Women cricket team sets new record,,5000000.0,285.0,,,,182122.0,4535889.417,1,0,2021-08-02,urdu,,1860.0,"['Judiciary', 'Politics']",0
21,Umar Cheema,Geo News,Dawn,Punjab,Multan,Terrorism,Attack on Army convoy in Waziristan,,4592649.0,,,,46.74535753,,2050589.888,1,0,2022-12-24,,Neutral,12070.0,"['Crime', 'Politics']",0
22,Kamran Khan,ARY News,The News,Islamabad,Islamabad,Economy,Exports see slight recovery,,20000000.0,497.0,0.2959264266,,,177709.0,,1,0,2025-10-10,,Neutral,1117.0,"['Politics', 'Economy', 'Sports', 'Media']",1
